TAUTH,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TOK,SHOT,DATE,TIME,ind
-2.4481890668528377,-0.22451949749414088,0.9234649356221554,1.814987595347262,0.9608816152020302,0.4885800148186709,0.43730737891970206,-1.1515860384666294,0.6931471805599453,AUG,9825,19980120,2.0,1730
-2.482070674968792,-0.5118261240995743,0.9046229270064731,1.320421616969183,0.7202758479481978,0.49591501103023644,0.44798346778710635,-1.1751592864211904,0.6931471805599453,AUG,10569,19980507,2.8,1816
-1.66812690878278,0.0009995003330834232,0.9411784473819341,1.4386495914538187,1.2272986296294326,0.4891933236388768,0.45915460963026433,-1.1566727574502442,0.6931471805599453,AUG,12145,19990504,3.2,2004
-1.6079390363103645,-0.010252376464351464,0.9407882034745424,1.5047438413194347,1.2541905204865533,0.4855078157817008,0.47451233722882397,-1.1481257913068232,0.6931471805599453,AUG,12145,19990504,3.85,2005
-3.1111431250653188,-0.5124936808666878,0.9054319885392791,1.58800996502048,1.446212851331134,0.49225423818055525,0.4424567168583609,-1.1730776690516687,0.6931471805599453,AUG,12534,19990730,2.55,2046
-3.199073197572021,-0.5126606397117204,0.9058362739702962,1.6022118673423607,1.4576843572065634,0.49103099643781106,0.4413107539187408,-1.170669826972964,0.6931471805599453,AUG,12534,19990730,3.55,2047
-3.229684023584804,-0.9160407631189478,0.9042181506398859,1.2567549897649053,1.3420812064435652,0.5050087384444258,0.5066223724689617,-1.2208106095691773,0.6931471805599453,AUG,12553,19990803,3.9,2061
-2.823461052613538,-0.5123267498922579,0.6841064359077962,1.1761904233134843,0.7499999921527281,0.4953058121079539,0.43909845248615054,-1.1787007012252209,0.6931471805599453,AUG,12808,19991116,2.5,2088
-3.2360219837031714,-0.5116593045145682,0.6820862332005203,1.397234301158225,1.3937663759585917,0.4879663296199081,0.43245666309613034,-1.1351845782914538,0.6931471805599453,AUG,12818,19991116,3.9,2090
-2.2643263808769554,-0.0035061393292877014,0.4643627493556498,2.191541794200721,0.8211005448704061,0.49591501103023644,0.4407637039075469,-1.1381789812756118,0.6931471805599453,AUG,13882,20000608,2.425,2120
-3.6519691000938392,-0.9147918557504193,0.6896410412306577,1.430311246536665,1.4487995664712878,0.4898062565419152,0.44186563673833945,-1.1549492406922632,0.6931471805599453,AUG,14464,20010712,3.9,2141
-3.1320102918466186,-0.9172912322077387,0.6891391591624065,1.0584844975773304,0.8153648132841944,0.5025918188388871,0.48569768698579213,-1.2013547381844683,0.6931471805599453,AUG,14466,20010712,5.65,2143
-2.982618634408608,-0.9130460017092661,0.8510052651755257,0.9364854391596744,0.7889118025443247,0.5080216964332565,0.48943772050359613,-1.2260765126993864,0.6931471805599453,AUG,14585,20010726,4.75,2169
-2.2749699259610723,-0.003706861931326512,1.0619483042965183,1.4759065198095778,0.9582001349513646,0.5074198306311578,0.4651823756580934,-1.20718888749999,0.6931471805599453,AUG,15498,20020312,2.562,2289
-3.050822239871951,-0.5121598467791274,0.9917691930500606,1.2736854167372362,1.4523161566618878,0.5007752879124892,0.42640709262627546,-1.20700770802109,0.6931471805599453,AUG,15888,20020604,2.2,2417
-2.7286101150675712,-0.008738065943285299,1.0922588146959344,1.4662601427577724,1.5492631893980304,0.501381164937991,0.47307836614374915,-1.1661352709967183,0.6931471805599453,AUG,16147,20020711,2.55,2531
-2.646625899115211,-0.005615738785635745,1.0922588146959344,1.385293860786307,1.4958211856471328,0.498348102254878,0.4565680560476458,-1.1547776998796606,0.6931471805599453,AUG,16149,20020711,3.45,2533
-2.5743938162895366,-0.23471018768567528,0.8729656071357814,1.3686394258811698,0.9376607576103475,0.48057258059496977,0.41290292550523305,-1.124358331617191,0.6931471805599453,AUG,16194,20020716,5.995,2554
-2.5928037130978234,-0.23572233352106997,0.8725478089262362,1.40044378422431,0.927032828406057,0.48057258059496977,0.41325156151249465,-1.123406947281326,0.6931471805599453,AUG,16195,20020716,5.9,2555
-4.497213044482999,-1.8269722249837996,0.11243542932978817,1.4861396960896067,-1.827593922237271,-0.5895081458004594,0.3967606674780181,-1.1859843509637238,0.6931471805599453,COMPASS,22063,19961216,0.16,3105
-4.714650286606912,-1.4200579912726998,0.7499999921527281,1.634715719618369,-0.6477914788391481,-0.5985645380739975,0.4337285733810237,-1.1375710274060604,0.6931471805599453,COMPASS,24794,19970731,0.16,3119
-4.471513801175417,-1.4081310557290652,0.731887008875876,1.534714366238164,-0.7450722534248648,-0.5837548037887486,0.41277168329060243,-1.1660952623620968,0.6931471805599453,COMPASS,26343,19980226,0.1466,3121
-4.602174677008293,-1.4171660247869777,0.7309245448939752,1.4407825464039603,-0.750564451429896,-0.5826797275339743,0.41673470036639515,-1.176999848230669,0.6931471805599453,COMPASS,26347,19980226,0.1469,3122
-1.9533376648841099,0.17981842657583597,0.7701082216960737,3.7428940424201746,1.5240978652670851,0.4916428043492167,0.38993315608257484,-1.087663274178439,0.6931471805599453,D3D,86209,19950804,2.265,3593
-2.162338572393708,0.17808091128663933,0.5492167852440972,1.3549842762777755,2.0647353081790256,0.5076509839252175,0.41929356606158613,-1.0001314799401464,0.6931471805599453,D3D,110666,20020416,3.8,3702
-2.0083468592125597,0.17159759343097897,0.5459658905172707,0.9968748314301937,1.736624506828753,0.507692021157706,0.4470072208810208,-1.0008940566762876,0.6931471805599453,D3D,110673,20020416,5.51,3707
-2.0614279647607314,0.1829311626132311,0.5481715113007646,1.141448253787422,1.8622153699655968,0.5100133819869297,0.49766844241985975,-1.0171616754276473,0.6931471805599453,D3D,111335,20020522,2.75,3716
